
NULL	Trained:	Viterbi:
.	0.80882989279	0.918367346939
het	0.124332392879	0.0714285714286
de	0.0667886786732	0.0102040816327
eigenlijke	0.0121186018463	0
onttrokken	0.0121186018463	0
aan	3.39381664046e-07	0
significante	3.96177465626e-08	0
meren	3.96177465626e-08	0
territoriale	3.96177465626e-08	0
verbod	3.96177465626e-08	0

the	Trained:	Viterbi:
de	0.798268824992	0.940308087291
transparantie	0.643943063216	0
het	0.158507822836	0.0596919127086
eigenlijke	0.103114527778	0
onttrokken	0.103114527778	0
van	0.0395788381821	0
reële	0.00882397518865	0
territoriale	0.00364448516951	0
significante	0.00364448516951	0
meren	0.00364448516951	0

in	Trained:	Viterbi:
in	0.643225196036	0.947521865889
de	0.173017173874	0.0145772594752
onderhoud	0.123871653022	0.00291545189504
zeewaardigheidsattesten	0.123871653022	0.00291545189504
afleveren	0.123871653022	0.00291545189504
er	0.0804537294188	0.0233236151603
van	0.0741744664713	0.00583090379009
op	0.0281373790838	0
significante	0.0240500812126	0
meren	0.0240500812126	0

.	Trained:	Viterbi:
.	0.847051981315	0.984015984016
het	0.147049787123	0.015984015984
eigenlijke	0.0123181761989	0
onttrokken	0.0123181761989	0
de	0.00584739769592	0
aan	2.23679185185e-07	0
is	6.71521193882e-08	0
significante	4.43058496207e-08	0
meren	4.43058496207e-08	0
territoriale	4.43058496207e-08	0

all	Trained:	Viterbi:
alle	0.552832406258	0.810810810811
duidelijke	0.358499081269	0.027027027027
moeten	0.222184033271	0.135135135135
termijn	0.0784359264081	0
een	0.064775607756	0
en	0.0629392934354	0.027027027027
begeven	0.0473190860674	0
reële	0.0461103627664	0
die	0.0455102131035	0
leiden	0.0401049271249	0

should	Trained:	Viterbi:
moeten	0.345341811231	0.475409836066
moet	0.326959543723	0.393442622951
wordt	0.129993708283	0.016393442623
,	0.128878290535	0.016393442623
dat	0.121058042401	0.0327868852459
allereerst	0.086463755169	0.016393442623
eveneens	0.0691683819178	0
slachtoffer	0.0687902672564	0.016393442623
Parlementslid	0.0592905040574	0.016393442623
geworden	0.0591591378846	0

public	Trained:	Viterbi:
en	0.231290029411	0.5
zo	0.170636563874	0.5
met	0.153412218305	0
transparante	0.133737385865	0
komen	0.133737385865	0
onafhankelijke	0.0996288867522	0
opinie	0.0969941398448	0
concrete	0.0810285384604	0
echter	0.081027682452	0
keer	0.0808611490394	0
