
the	Trained:	Viterbi:
de	0.58299904	0.571428571429
transparantie	0.220685296958	0.0714285714286
gebrek	0.220685296958	0.0714285714286
nog	0.220685296958	0.0714285714286
tot	0.169796378872	0.142857142857
en	0.0882983754053	0
het	0.0849754532503	0
er	0.0811793122917	0.0714285714286
van	0.0425963107782	0
,	0.0187011378576	0

in	Trained:	Viterbi:
en	0.396243200596	0.666666666667
op	0.246811242275	0.333333333333
de	0.175679839013	0
van	0.0830310536081	0
moet	0.0491890919763	0
voor	0.0274629871672	0
komen	0.0274629871672	0
.	0.0263637539378	0
een	0.0194048734216	0
er	0.0130411494488	0

.	Trained:	Viterbi:
.	0.754925808501	0
transparantie	0.130128175052	0
gebrek	0.130128175052	0
nog	0.130128175052	0
het	0.101074470026	0
tot	0.0772506493634	0
er	0.0605010129153	0
aan	0.000270665969079	0
wordt	8.47493334716e-05	0
elke	8.47493334716e-05	0

all	Trained:	Viterbi:
moeten	0.512919447085	1.0
komen	0.106487743511	0
voor	0.106487743511	0
een	0.0643264143789	0
moet	0.0394274298028	0
in	0.016571523845	0
te	0.0164268888406	0
voorschriften	0.0164268888406	0
met	0.00828557962802	0
territoriale	0.00821344442031	0

should	Trained:	Viterbi:
,	0.0454788407346	0
is	0.0351189315819	0
getroffen	0.0274965272241	0
Frankrijk	0.0274965272241	0
eveneens	0.0274965272241	0
olievlek	0.0274965272241	0
wil	0.0274965272241	0
geven	0.0274965272241	0
commissaris	0.0274965272241	0
ons	0.0274965272241	0

public	Trained:	Viterbi:
opinie	0.132062172713	0
publieke	0.132062172713	0
stappen	0.0660310863563	0
verwacht	0.0660310863563	0
keer	0.0660310863563	0
haar	0.0660310863563	0
nut	0.0660310863563	0
concrete	0.0660310863563	0
echter	0.0660310863563	0
hiermee	0.0660310863563	0
